Index,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,HSV_Green_2012,RGB_Green_2012,HSV_Green_2013,RGB_Green_2013,HSV_Green_2014,RGB_Green_2014,HSV_Green_2015,RGB_Green_2015,HSV_Green_2016,RGB_Green_2016,HSV_Green_2017,RGB_Green_2017,HSV_Green_2018,RGB_Green_2018,HSV_Green_2019,RGB_Green_2019,HSV_Green_2020,RGB_Green_2020
27,SantaRosa,168187,129851,False,38.4723017,-122.7496576,223,862,35,773,639,188,1,0.990344425,1950,Post1940,RES1,1,False,1700,Average,198322,,,,,./images/Index:27_Lat:38.47231924_Long:-122.7494145_Date:2011-06.jpg,,./images/Index:27_Lat:38.47231924_Long:-122.7494145_Date:2013-07.jpg,./images/Index:27_Lat:38.47190564_Long:-122.749684_Date:2014-04.jpg,./images/Index:27_Lat:38.47190564_Long:-122.749684_Date:2015-05.jpg,,,,./images/Index:27_Lat:38.47136963_Long:-122.7501215_Date:2019-04.jpg,,,./images/Index:27_Lat:38.47136963_Long:-122.7501215_Date:2022-09.jpg,,,,,0.688720703125039,0.001864206045866,3.88916015625,0.0109548345208169,4.17895507812474,0.014187566936016,,,,,,,1.052978515625,0.001929897814989,,
28,SantaRosa,247335,373065,True,38.47225927,-122.7498732,553,822,147,771,269,406,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322,,,,,./images/Index:28_Lat:38.4723017_Long:-122.7496576_Date:2011-06.jpg,,./images/Index:28_Lat:38.4723017_Long:-122.7496576_Date:2013-07.jpg,./images/Index:28_Lat:38.47231924_Long:-122.7494145_Date:2014-04.jpg,./images/Index:28_Lat:38.47208284_Long:-122.7495037_Date:2015-05.jpg,,,,./images/Index:28_Lat:38.47190564_Long:-122.749684_Date:2019-04.jpg,,,,,,,,4.38671874999955,0.0137765146791933,2.44897460937535,0.0063168630003929,3.57397460937529,0.0834786891937306,,,,,,,0.380371093749993,0.0121729969978332,,
29,SantaRosa,167495,243504,False,38.47195878,-122.7505277,353,633,63,734,280,290,1,0.990344425,1940,Post1940,RES1,2,False,1700,Average,208675,,,,,./images/Index:29_Lat:38.47225927_Long:-122.7498732_Date:2011-06.jpg,,./images/Index:29_Lat:38.47225927_Long:-122.7498732_Date:2013-07.jpg,./images/Index:29_Lat:38.4723017_Long:-122.7496576_Date:2014-04.jpg,./images/Index:29_Lat:38.47231924_Long:-122.7494145_Date:2015-05.jpg,,,,./images/Index:29_Lat:38.47208284_Long:-122.7495037_Date:2019-04.jpg,,,./images/Index:29_Lat:38.47190564_Long:-122.749684_Date:2022-09.jpg,,,,,4.62719726562433,0.0133679062128066,9.49194335936991,0.0995481759309891,0.979492187500014,0.0085450634360313,,,,,,,0.493408203125009,0.0128326639533042,,
30,SantaRosa,72400,104579,False,38.47232079,-122.7489822,-1,-1,165,775,401,-1,1,0.990344425,1940,Post1940,RES1,2,False,1700,Custom,278715,,,,,./images/Index:30_Lat:38.47195878_Long:-122.7505277_Date:2011-06.jpg,,,,./images/Index:30_Lat:38.4723017_Long:-122.7496576_Date:2015-06.jpg,,,,./images/Index:30_Lat:38.47231924_Long:-122.7494145_Date:2019-04.jpg,,,,,,,,,,,,11.1860351562434,0.0306977555155746,,,,,,,1.11230468749999,0.0378263331949709,,
31,SantaRosa,194467,122048,True,38.47210854,-122.7489786,236,890,48,753,654,188,1,0.990344425,1950,Post1940,RES1,2,False,1700,Average,208675,,,,,./images/Index:31_Lat:38.47232079_Long:-122.7489822_Date:2011-06.jpg,,./images/Index:31_Lat:38.47232079_Long:-122.7489822_Date:2013-07.jpg,./images/Index:31_Lat:38.47225927_Long:-122.7498732_Date:2014-04.jpg,,,,,,,,./images/Index:31_Lat:38.47231924_Long:-122.7494145_Date:2022-09.jpg,,,,,0.688720703125039,0.001864206045866,5.1003417968739,0.014597177505493,,,,,,,,,,,,
32,SantaRosa,72400,129521,True,38.47166528,-122.7490694,723,962,35,712,239,688,1,0.990344425,1960,Post1940,RES1,1,False,1700,Average,198322,,,,,./images/Index:32_Lat:38.47210854_Long:-122.7489786_Date:2011-06.jpg,,./images/Index:32_Lat:38.47210854_Long:-122.7489786_Date:2013-07.jpg,./images/Index:32_Lat:38.47232079_Long:-122.7489822_Date:2014-04.jpg,./images/Index:32_Lat:38.47232079_Long:-122.7489822_Date:2015-05.jpg,,,,./images/Index:32_Lat:38.4723017_Long:-122.7496576_Date:2019-04.jpg,,,./images/Index:32_Lat:38.47232079_Long:-122.7489822_Date:2022-09.jpg,,,,,1.9589843750001,0.003447487950325,2.44897460937535,0.0063168630003929,0.979492187500014,0.0085450634360313,,,,,,,1.26562499999996,0.0114367194473743,,
33,SantaRosa,210235,448296,True,38.47160529,-122.7493307,436,702,105,707,266,331,1,0.990344425,1950,Post1940,RES1,1,False,1700,Average,198322,,,,,./images/Index:33_Lat:38.47166528_Long:-122.7490694_Date:2011-06.jpg,,./images/Index:33_Lat:38.47166528_Long:-122.7490694_Date:2013-07.jpg,./images/Index:33_Lat:38.47210854_Long:-122.7489786_Date:2014-04.jpg,,,,,./images/Index:33_Lat:38.47225927_Long:-122.7498732_Date:2019-04.jpg,,,./images/Index:33_Lat:38.47195878_Long:-122.7505277_Date:2022-09.jpg,,,,,4.07934570312483,0.0469773001968839,2.76879882812552,0.0062750577926636,,,,,,,,,1.82592773437503,0.0201960168778896,,
34,SantaRosa,73579,207886,True,38.4715114,-122.7495856,485,652,487,702,167,-1,1,0.990344425,1950,Post1940,RES1,2,False,1700,Custom,278715,,,,,./images/Index:34_Lat:38.47160529_Long:-122.7493307_Date:2011-06.jpg,,./images/Index:34_Lat:38.47160529_Long:-122.7493307_Date:2013-07.jpg,./images/Index:34_Lat:38.47166528_Long:-122.7490694_Date:2014-04.jpg,./images/Index:34_Lat:38.47210854_Long:-122.7489786_Date:2015-05.jpg,,,,,,,,,,,,2.61059570312543,0.00668615847826,6.8654785156223,0.0794784687459498,2.13867187500019,0.0053563602268695,,,,,,,,,,
35,SantaRosa,156188,291087,True,38.4713334,-122.749375,385,602,118,659,217,267,1,0.990344425,1940,Post1940,RES1,1,False,1700,Custom,271167,,,,,./images/Index:35_Lat:38.4715114_Long:-122.7495856_Date:2011-06.jpg,,,,,,,,./images/Index:35_Lat:38.47210854_Long:-122.7489786_Date:2019-04.jpg,,,,,,,,,,,,,,,,,,,,0.803222656250049,0.0273117572069169,,
36,SantaRosa,68380,94925,True,38.47132721,-122.7486143,-1,-1,71,655,189,-1,1,0.990344425,1960,Post1940,RES1,2,False,1700,Average,208675,,,,,./images/Index:36_Lat:38.4713334_Long:-122.749375_Date:2011-06.jpg,,./images/Index:36_Lat:38.4713334_Long:-122.749375_Date:2013-07.jpg,./images/Index:36_Lat:38.47160529_Long:-122.7493307_Date:2014-04.jpg,./images/Index:36_Lat:38.47166528_Long:-122.7490694_Date:2015-05.jpg,,,,,,,./images/Index:36_Lat:38.47210854_Long:-122.7489786_Date:2022-09.jpg,,,,,2.40087890625033,0.0141488462686536,4.37060546874957,0.0162590816617009,3.93774414062496,0.0783226750791091,,,,,,,,,,
